Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
9.03,Peanut Butter,25,588
47.36,Peanut Butter,25,588
38.01,Peanut Butter,25,588
41.52,Greek Yogurt,10,59
45.59,Chicken Breast,31,165
23.9,Peanut Butter,25,588
48.51,Whey Protein,80,400
45.15,Almonds,21,579
5.03,Chicken Breast,31,165
20.13,Peanut Butter,25,588
47.09,Whey Protein,80,400
42.62,Salmon,25,208
27.35,Whey Protein,80,400
29.3,Tofu,8,76
18.01,Almonds,21,579
7.42,Almonds,21,579
31.26,Peanut Butter,25,588
31.45,Eggs,13,155
18.5,Salmon,25,208
7.77,Greek Yogurt,10,59
36.67,Chicken Breast,31,165
45.54,Almonds,21,579
38.17,Greek Yogurt,10,59
41.3,Tofu,8,76
32.67,Eggs,13,155
11.96,Beef,27,250
11.8,Almonds,21,579
9.86,Tofu,8,76
35.53,Beef,27,250
20.84,Tofu,8,76
6.46,Whey Protein,80,400
25.16,Salmon,25,208
45.34,Salmon,25,208
10.31,Almonds,21,579
14.3,Greek Yogurt,10,59
8.69,Whey Protein,80,400
34.6,Salmon,25,208
36.39,Greek Yogurt,10,59
43.18,Peanut Butter,25,588
39.14,Chicken Breast,31,165
18.31,Tofu,8,76
30.86,Eggs,13,155
13.74,Greek Yogurt,10,59
40.59,Greek Yogurt,10,59
20.67,Whey Protein,80,400
34.64,Tofu,8,76
20.56,Salmon,25,208
23.99,Salmon,25,208
8.52,Beef,27,250
46.26,Greek Yogurt,10,59
12.01,Peanut Butter,25,588
6.31,Almonds,21,579
25.28,Chicken Breast,31,165
12.45,Chicken Breast,31,165
46.68,Tofu,8,76
24.65,Almonds,21,579
